word,n
much less,1
much more,1
much this,1
multiple clients,1
multiple sets,1
music teacher,1
must amazing,1
my 2,1
my 6,1
my adult,1
my clients,1
my colleagues,1
my dad,1
my go,1
my granddaughter's,1
my information,1
my mom,1
my non,1
my nonverbal,1
my opinion,1
my patient,1
my patients,1
my personal,1
my photos,1
my questions,1
my state,1
my student,1
my student's,1
my voice,1
my way,1
myriads of,1
myself in,1
mytalk boards,1
mytalk can,1
mytalk for,1
mytalk is,1
mytalk mobile's,1
mytalktools had,1
mytalktools has,1
mytalktools i've,1
mytalktools may,1
name was,1
naturally students,1
need or,1
need this,1
need to,1
needs an,1
needs good,1
needs i,1
needs more,1
needs ordering,1
needs she,1
new boards,1
new device,1
new students,1
new voice,1
nice and,1
no class,1
no help,1
no physical,1
no training,1
none i,1
nonverbal clients,1
not all,1
not allowing,1
not even,1
not including,1
not look,1
not realize,1
not so,1
not use,1
note that,1
noticed how,1
noverbal he,1
novice mytalktools,1
now in,1
obviously be,1
of 2,1
of a,1
of an,1
of attribuites,1
of boards,1
of communication,1
of copyright,1
of customizations,1
of extra,1
of giving,1
of his,1
of if,1
of implimentation,1
of language,1
of professionals,1
of saying,1
of students,1
of stuff,1
of subjects,1
of this,1
of throwing,1
of work,1
of workspace,1
of yogurt,1
of your,1
off and,1
old grandson,1
on an,1
on any,1
on closed,1
on creating,1
on student,1
on their,1
on this,1
once again,1
once that's,1
once the,1
once you,1
one but,1
one can,1
one day,1
one i,1
one needs,1
one of,1
one other,1
one percent,1
one school,1
online workspace,1
only app,1
only but,1
only complaint,1
only tried,1
only way,1
only with,1
only yes,1
opinion the,1
option this,1
options and,1
or alternate,1
or as,1
or can,1
or flipping,1
or greet,1
or icons,1
or ipad,1
or kevin,1
or looking,1
or missing,1
or movies,1
or text,1
or those,1
or touch,1
or use,1
or video,1
oral class,1
order favorite,1
ordering in,1
originally downloaded,1
other app,1
other programs,1
others favorite,1
our patients,1
out and,1
out answer,1
out of,1
out than,1
out with,1
out workarounds,1
own body,1
own ipad,1
own photos,1
own pictures,1
own possessions,1
package instantly,1
page and,1
pain is,1
paraeducator certificate,1
parts that,1
password for,1
past the,1
paste boards,1
pasting cells,1
pathologist and,1
pathologists you,1
patient and,1
patient used,1
patients and,1
patients need,1
patients themselves,1
patients which,1
people he,1
people really,1
people with,1
percent level,1
perfect app,1
perfect fit,1
perfect for,1
perfectly one,1
personal information,1
photo album,1
photographed clean,1
photos from,1
photos internet,1
photos of,1
photos the,1
physical challenges,1
physical prompts,1
pick up,1
picking it,1
picture blinks,1
picture of,1
picture that,1
picture you,1
pictures independently,1
pioneers on,1
places to,1
plus app,1
plus.i also,1
pointing and,1
pokey i,1
possessions his,1
powerful tool,1
pratt and,1
press the,1
pressed his,1
pretty cool,1
pretty straight,1
pretty well,1
price you,1
priceless am,1
problems i,1
process my,1
product and,1
professionals have,1
program i,1
program is,1
program that,1
program the,1
program uses,1
programmed all,1
programmed everything,1
programs where,1
projector for,1
prompts no,1
provided my,1
providing affordable,1
pts can,1
pts i,1
pts if,1
public library,1
pull up,1
pump the,1
purchase it,1
push to,1
put in,1
put into,1
questions and,1
questions as,1
questions have,1
quick they,1
quickly and,1
quickly figure,1
quickly make,1
quickly remedied,1
quite pokey,1
rather than,1
re downloaded,1
realize that,1
really did,1
really the,1
really thought,1
reason i,1
recognize the,1
recommend it,1
recorded speech,1
recreational activities,1
redirected to,1
referred by,1
rehab and,1
remedied by,1
remember the,1
remotely and,1
replicate these,1
reports compliment,1
request for,1
required he,1
responding and,1
response is,1
responsive is,1
responsiveness is,1
restaurant activities,1
restaurant websites,1
restaurants commercial,1
restrictions that's,1
return to,1
revolutionizing this,1
right in,1
run the,1
said his,1
save units,1
saw i,1
say and,1
say i,1
say so,1
say where,1
saying only,1
schedules and,1
school and,1
school she,1
school show,1
school we,1
school year,1
scoured the,1
screen and,1
search and,1
search for,1
searches or,1
second to,1
see his,1
see how,1
see if,1
see what,1
seems fine,1
seems like,1
seems slightly,1
seems to,1
seizures by,1
select by,1
selected it,1
selects the,1
sense and,1
serve as,1
service for,1
serving as,1
sets of,1
setting it,1
several communication,1
she attends,1
she can,1
she didn't,1
she enjoys,1
she is,1
she wants,1
she watched,1
show i,1
show on,1
show with,1
simple boards,1
simple framework,1
simplicity of,1
simply by,1
simply put,1
since 2000,1
since boards,1
six and,1
slightly buggy,1
slow learners,1
slp i,1
slp working,1
small and,1
so excited,1
so he,1
so many,1
so she,1
so students,1
so the,1
so user,1
software you,1
someone asked,1
something note,1
son after,1
son loves,1
son speech,1
son who's,1
soon as,1
sound and,1
sound system,1
sound through,1
sounds people,1
space rather,1
special ed,1
specialist and,1
speech i,1
speech or,1
speech pathologist,1
speech pathologists,1
square also,1
staff ask,1
stage of,1
start small,1
starts to,1
state has,1
state paraeducator,1
still my,1
stolen dropped,1
straight forward,1
struggle with,1
student achievement,1
student doesn't,1
student just,1
student selects,1
student to,1
student will,1
student's use,1
students could,1
students devices,1
students give,1
students interact,1
students needs,1
students on,1
students or,1
students so,1
students using,1
stuff to,1
stumbled on,1
subjects wants,1
successfully my,1
support diverse,1
support for,1
support is,1
supported level,1
sure how,1
symbolix and,1
synced with,1
synchronized with,1
synth voice,1
system cool,1
systems they,1
talk as,1
talk its,1
talk this,1
talk too,1
tap his,1
teach to,1
teacher associate,1
teacher mytalktools,1
teachers and,1
teachers of,1
teachers on,1
teaching and,1
team of,1
technical support,1
tell me,1
